rank,romaji_title,english_title,native_title,description,genres,tags,popularity,average_score,favourites,trending,chapters,volumes,format,status,source,start_date,end_date,external_links,semantic_text,word_count
1137,Secret Lady,Secret Lady,시크릿레이디,"Lady Rosentine Arzen was born with the ability to see ghosts, an offense punishable by death under imperial law, and something which threatens to ruin her family. So when Rosentine learns of a plot to poison the imperials, she goes undercover as a vagabond sorcerer to save Prince Charteris Kartazen, who promises to protect her family should she solve the mystery. But who would want to harm the prince? The palace teems with danger, but it’s Rosentine’s own secret that could prove fatal to her. (Source: Tapas)","Fantasy, Romance","Ghost, Female Protagonist, Amnesia, Acting, Memory Manipulation, Long Strip, Politics, Survival, Reincarnation, Tragedy, Cosmic Horror, Royal Affairs, Full Color, Isekai, Necromancy, Ojou-sama, Dissociative Identities, Dystopian, Denpa, Foreign, Witch, Conspiracy, Villainess, Gods, Maids, Mythology, Magic",8243,78,449,2,,,MANGA,RELEASING,OTHER,2021-05-04,,KakaoPage: https://page.kakao.com/home/%EC%8B%9C%ED%81%AC%EB%A6%BF-%EB%A0%88%EC%9D%B4%EB%94%94/56825827 | Piccoma: https://piccoma.com/web/product/77771 | Tapas: https://tapas.io/series/secret-lady/info,"Secret Lady is a fantasy  romance manga. It includes themes like ghost  female protagonist  amnesia  acting  memory manipulation  long strip  politics  survival  reincarnation  tragedy  cosmic horror  royal affairs  full color  isekai  necromancy  ojou-sama  dissociative identities  dystopian  denpa  foreign  witch  conspiracy  villainess  gods  maids  mythology  magic. Lady Rosentine Arzen was born with the ability to see ghosts, an offense punishable by death under imperial law, and something which threatens to ruin her family. So when Rosentine learns of a plot to poison the imperials, she goes undercover as a vagabond sorcerer to save Prince Charteris Kartazen, who promises to protect her family should she solve the mystery. But who would want to harm the prince? The palace teems with danger, but it’s Rosentine’s own secret that could prove fatal to her. ( Also known as: 시크릿레이디.",135
1145,Arslan Senki,The Heroic Legend of Arslan,アルスラーン戦記,"In the prosperous kingdom of Pars lies the Royal Capital of Ecbatana, a city of splendor and wonder, ruled by the undefeated and fearsome King Andragoras. Arslan is the young and curious prince of Pars who, despite his best efforts, doesn’t seem to have what it takes to be a proper king like his father. At the age of 14, Arslan goes to his first battle and loses everything as the blood-soaked mist of war gives way to scorching flames, bringing him to face the demise of his once glorious kingdom. However, it is Arslan’s destiny to be a ruler, and despite the trials that face him, he must now embark on a journey to reclaim his fallen kingdom. (Source: Kodansha USA)","Action, Adventure, Drama, Fantasy, Supernatural","Historical, War, Military, Foreign, Politics, Male Protagonist, Found Family, Royal Affairs, Religion, Swordplay, Gore, Slavery, Revenge, Primarily Male Cast, Archery, Shounen, Pirates",8213,75,155,0,,,MANGA,RELEASING,OTHER,2013-07-09,,Kodansha: https://kodansha.us/series/the-heroic-legend-of-arslan/ | K MANGA: https://kmanga.kodansha.com/title/10014/episode/315586 | INKR: https://comics.inkr.com/title/1103-the-heroic-legend-of-arslan-1-17?ref=search | Kodansha: https://kc.kodansha.co.jp/title?code=1000006649,"Arslan Senki is a action  adventure  drama  fantasy  supernatural manga. It includes themes like historical  war  military  foreign  politics  male protagonist  found family  royal affairs  religion  swordplay  gore  slavery  revenge  primarily male cast  archery  shounen  pirates. In the prosperous kingdom of Pars lies the Royal Capital of Ecbatana, a city of splendor and wonder, ruled by the undefeated and fearsome King Andragoras. Arslan is the young and curious prince of Pars who, despite his best efforts, doesn’t seem to have what it takes to be a proper king like his father. At the age of 14, Arslan goes to his first battle and loses everything as the blood-soaked mist of war gives way to scorching flames, bringing him to face the demise of his once glorious kingdom. However, it is Arslan’s destiny to be a ruler, and despite the trials that face him, he must now embark on a journey to reclaim his fallen kingdom. ( Also known as: The Heroic Legend of Arslan. Also known as: アルスラーン戦記.",168
1152,Biroe-do,Masters of Lightning Knives,비뢰도,"A young orphan was alone in the world until he meets the master of a secret form of martial arts. To learn these otherworldly techniques, he will need to endure years of his sadistic teacher’s grueling and weird training. But why does he have to do laundry, cook meals, or play instruments to learn martial arts anyway?! If he can survive long enough (and if his massive ego doesn’t get in the way), he just might be able to wield the unstoppable lightning knives. Will he make the cut or be sliced down to size? (Source: Tapas)","Action, Adventure, Comedy","Martial Arts, Male Protagonist, Full Color, Gender Bending, Cultivation, Crossdressing, Work, Wuxia, Heterosexual, Anti-Hero, Time Skip",8122,75,312,0,,,MANGA,RELEASING,OTHER,2019-12-12,,KakaoPage: https://page.kakao.com/home/%EB%B9%84%EB%A2%B0%EB%8F%84-%5B%EB%8F%85%EC%A0%90%EC%97%B0%EC%9E%AC%5D-%5B%EB%A7%A4%EC%A3%BC-%EA%B8%88-%EC%97%B0%EC%9E%AC%5D/54015654 | Tapas: https://tapas.io/series/masters-of-lightning-knives/info | Kakao Webtoon: https://webtoon.kakao.com/content/비뢰도/2355,"Biroe-do is a action  adventure  comedy manga. It includes themes like martial arts  male protagonist  full color  gender bending  cultivation  crossdressing  work  wuxia  heterosexual  anti-hero  time skip. A young orphan was alone in the world until he meets the master of a secret form of martial arts. To learn these otherworldly techniques, he will need to endure years of his sadistic teacher’s grueling and weird training. But why does he have to do laundry, cook meals, or play instruments to learn martial arts anyway?! If he can survive long enough (and if his massive ego doesn’t get in the way), he just might be able to wield the unstoppable lightning knives. Will he make the cut or be sliced down to size? ( Also known as: Masters of Lightning Knives. Also known as: 비뢰도.",134
1153,Yuusha ni Zenbu Ubawareta Ore wa Yuusha no Hahaoya to Party wo Kumimashita!,"Betrayed by the Hero, I Formed a MILF Party with His Mom",勇者に全部奪われた俺は勇者の母親とパーティを組みました！,"Ceres thought his life was over after being abruptly kicked out of the Hero’s party by the arrogant Hero Zect. Alone and dejected, he stumbles upon an unusual slave market, where he finds none other than the Hero’s own mother, Shizuko! Ceres has a thing for older women, and realizes that this is his chance to achieve a lifelong dream: Assembling a harem of MILFs!  (Source: Seven Seas Entertainment)","Action, Adventure, Ecchi, Fantasy, Romance","Heterosexual, Age Gap, Female Harem, Revenge, MILF, Primarily Female Cast, Slavery, Polyamorous, Marriage, Male Protagonist, Netori, Isekai, Magic, Nudity, Netorase, Large Breasts, Reincarnation, Fellatio, Cunnilingus, Dragons, Netorare",8121,65,225,0,,,MANGA,RELEASING,OTHER,2022-12-23,,ComicWalker: https://comic-walker.com/contents/detail/KDCW_CW01203595010000_68 | Nico Nico Seiga: https://seiga.nicovideo.jp/comic/61438 | Official Site: https://www.kadokawa.co.jp/product/322302000476/ | Seven Seas Entertainment: https://sevenseasentertainment.com/series/betrayed-by-the-hero-i-formed-a-milf-party-with-his-mom-manga/,"Yuusha ni Zenbu Ubawareta Ore wa Yuusha no Hahaoya to Party wo Kumimashita! is a action  adventure  ecchi  fantasy  romance manga. It includes themes like heterosexual  age gap  female harem  revenge  milf  primarily female cast  slavery  polyamorous  marriage  male protagonist  netori  isekai  magic  nudity  netorase  large breasts  reincarnation  fellatio  cunnilingus  dragons  netorare. Ceres thought his life was over after being abruptly kicked out of the Hero’s party by the arrogant Hero Zect. Alone and dejected, he stumbles upon an unusual slave market, where he finds none other than the Hero’s own mother, Shizuko! Ceres has a thing for older women, and realizes that this is his chance to achieve a lifelong dream: Assembling a harem of MILFs! ( Also known as: Betrayed by the Hero, I Formed a MILF Party with His Mom. Also known as: 勇者に全部奪われた俺は勇者の母親とパーティを組みました！.",137
1154,Naje Tteuneun Byeol,Daytime Star,낮에 뜨는 별,"A struggling, no-name actress of seven years, Yu-Ra Hwang. She barely lands a minor role in a movie that’s bound to be a success. A celebrity’s celebrity, Seung-Hyeon Kang, keeps running into Yu-Ra, who always seems to be shedding tears every time he comes across her. As these two reunite in the new movie, “Time,” will Yu-Ra finally seize the moment to make her name known? And will Seung-Hyeon figure out why he can’t get Yu-Ra out of his mind? Only time will tell. (Source: WEBTOONS, edited) Note: Chapter count includes 5 side stories.","Drama, Romance","Full Color, Heterosexual, Work, Female Protagonist, Acting, Primarily Adult Cast, Pregnancy, Long Strip",8108,82,636,0,77.0,,MANGA,FINISHED,OTHER,2021-06-25,2023-01-06,KakaoPage: https://page.kakao.com/home/%EB%82%AE%EC%97%90-%EB%9C%A8%EB%8A%94-%EB%B3%84/55452896 | Lezhin: https://www.lezhin.com/ko/comic/stars_rise_day | Webtoons: https://www.webtoons.com/en/drama/daytime-star/list?title_no=3908 | Naver Series: https://series.naver.com/comic/detail.series?productNo=8041646 | TOPTOON: https://toptoon.com/comic/ep_list/Daytime_Star | Webtoons: https://www.webtoons.com/zh-hant/romance/daytime-star/list?title_no=3962 | Webtoons: https://www.webtoons.com/de/romance/daytime-star/list?title_no=4371 | Webtoons: https://www.webtoons.com/th/romance/daytime-star/list?title_no=4349 | Webtoons: https://www.webtoons.com/fr/romance/daytime-star/list?title_no=3717 | Webtoons: https://www.webtoons.com/es/romance/daytime-star/list?title_no=4042 | Bufftoon: https://bufftoon.plaync.com/series/1009789 | Comico: https://www.comico.kr/comic/7817 | Bomtoon: https://www.bomtoon.com/comic/ep_list/Star_noon | Anytoon: https://www.anytoon.co.kr/webtoon/episode/8725 | Onestory: https://onestory.co.kr/detail/H041999469,"Naje Tteuneun Byeol is a drama  romance manga. It includes themes like full color  heterosexual  work  female protagonist  acting  primarily adult cast  pregnancy  long strip. A struggling, no-name actress of seven years, Yu-Ra Hwang. She barely lands a minor role in a movie that’s bound to be a success. A celebrity’s celebrity, Seung-Hyeon Kang, keeps running into Yu-Ra, who always seems to be shedding tears every time he comes across her. As these two reunite in the new movie, “Time,” will Yu-Ra finally seize the moment to make her name known? And will Seung-Hyeon figure out why he can’t get Yu-Ra out of his mind? Only time will tell. ( Also known as: Daytime Star. Also known as: 낮에 뜨는 별.",121
1155,Hoegwiro Chowolhaneun Daemadosa,The Great Wizard Transcendent,회귀로 초월하는 대마도사,"Mikhail Walpurgis didn't feel qualified for the title of Hero, and instead let the warrior Siegfried lead the prophesied battle against the Devil. But after Siegfried dies and the army is defeated, Mikhail has one last move before the end of the world. And so he turns back time. Now, Mikhail has the chance to reclaim the title he gave up and save everyone. The only problem is, no one believes the prophecy about the war! Can Mikhail manage to gather an army and make this life count? (Source: Tapas)","Action, Drama, Fantasy","Magic, Full Color, Male Protagonist, Age Regression, Demons",8097,70,173,4,,,MANGA,RELEASING,OTHER,2022-10-05,,KakaoPage: https://page.kakao.com/content/60328750 | Tapas: https://tapas.io/series/the-great-wizard-transcendent/info,"Hoegwiro Chowolhaneun Daemadosa is a action  drama  fantasy manga. It includes themes like magic  full color  male protagonist  age regression  demons. Mikhail Walpurgis didn't feel qualified for the title of Hero, and instead let the warrior Siegfried lead the prophesied battle against the Devil. But after Siegfried dies and the army is defeated, Mikhail has one last move before the end of the world. And so he turns back time. Now, Mikhail has the chance to reclaim the title he gave up and save everyone. The only problem is, no one believes the prophecy about the war! Can Mikhail manage to gather an army and make this life count? ( Also known as: The Great Wizard Transcendent. Also known as: 회귀로 초월하는 대마도사.",123
1167,Jamman Jado Ranker,The Slumbering Ranker,잠만 자도 랭커,"After sleeping a total of 10,000 hours inside Idea, the hottest online game around, Lee Hyunsung becomes one overpowered player! He's given an exclusive hidden class with an array of unique skills, and one of which allows him to fight in his sleep! He's slowly making his way up to the top, and everyone from the developers to other players are starting to take notice of this odd rookie. Will Hyunsung eventually become the top ranker in Idea? Or is this all just a dream that's too good to be true? (Source: Tapas)","Action, Adventure, Fantasy","Virtual World, Video Games, Dissociative Identities, Artificial Intelligence, Full Color, Male Protagonist, Urban, Dungeon, Swordplay, Magic, Rehabilitation, Super Power",8028,71,216,0,154.0,,MANGA,FINISHED,OTHER,2022-03-17,2025-02-26,KakaoPage: https://page.kakao.com/home?seriesId=58909608 | Tapas: https://tapas.io/series/the-slumbering-ranker | Kakao Webtoon: https://webtoon.kakao.com/content/잠만-자도-랭커/2858,"Jamman Jado Ranker is a action  adventure  fantasy manga. It includes themes like virtual world  video games  dissociative identities  artificial intelligence  full color  male protagonist  urban  dungeon  swordplay  magic  rehabilitation  super power. After sleeping a total of 10,000 hours inside Idea, the hottest online game around, Lee Hyunsung becomes one overpowered player! He's given an exclusive hidden class with an array of unique skills, and one of which allows him to fight in his sleep! He's slowly making his way up to the top, and everyone from the developers to other players are starting to take notice of this odd rookie. Will Hyunsung eventually become the top ranker in Idea? Or is this all just a dream that's too good to be true? ( Also known as: The Slumbering Ranker. Also known as: 잠만 자도 랭커.",136
1169,"Hwangnyeo, Banyeokjareul Gaginsikida",Revolutionary Princess Eve,"황녀, 반역자를 각인시키다","Princess Evienrose, despite advocating fiercely for the rights of the homunculi rebels, now awaits death at their hands… that is until she is poisoned by her own sister! Awakening eight years in the past, Eve now has one goal: become the Empress and liberate the homunculi to stop the rebellion from ever happening! To do this, she appoints the rebel king himself, Mikaelis Agnito, as her personal knight. But with Eve’s scheming sisters standing in the way, the fight for the crown is on, and the fate of the Hadelamid empire rests in her hands! (Source: Tapas)","Adventure, Drama, Fantasy, Romance","Female Protagonist, Age Regression, Slavery, Heterosexual, Primarily Adult Cast, Long Strip, Time Manipulation, Full Color, Magic, Politics, Yandere, Royal Affairs, Demons, Swordplay, Memory Manipulation, Dragons, Tragedy, Love Triangle",8024,76,318,0,,,MANGA,RELEASING,OTHER,2021-03-13,,KakaoPage: https://page.kakao.com/home?seriesId=56702100 | Tapas: https://tapas.io/series/revolutionary-princess-eve/info | Kakao Webtoon: https://th.kakaowebtoon.com/content/ย้อนเวลาประทับรักจอมกบฏ/184?tab=episode,"Hwangnyeo, Banyeokjareul Gaginsikida is a adventure  drama  fantasy  romance manga. It includes themes like female protagonist  age regression  slavery  heterosexual  primarily adult cast  long strip  time manipulation  full color  magic  politics  yandere  royal affairs  demons  swordplay  memory manipulation  dragons  tragedy  love triangle. Princess Evienrose, despite advocating fiercely for the rights of the homunculi rebels, now awaits death at their hands… that is until she is poisoned by her own sister! Awakening eight years in the past, Eve now has one goal: become the Empress and liberate the homunculi to stop the rebellion from ever happening! To do this, she appoints the rebel king himself, Mikaelis Agnito, as her personal knight. But with Eve’s scheming sisters standing in the way, the fight for the crown is on, and the fate of the Hadelamid empire rests in her hands! ( Also known as: Revolutionary Princess Eve. Also known as: 황녀, 반역자를 각인시키다.",150
1174,Douluo Dalu,Soul Land,斗罗大陆,"Tang San spent his prelife in the Tang Clan. He stole the secret from the Inner Clan to reach the peak of martial arts. In the end, he had to commit suicide for such action. Then he was reborn in a different world-Soul Land. This world is filled with powerful soul masters. Each master has their own martial souls. The martial soul of Tang San is a useless Blue Silver Grass. Can he bring the glory of the Tang Clan into this new world?(Source: Webnovel)","Action, Adventure, Fantasy, Romance","Magic, Full Color, Male Protagonist, Martial Arts, Reincarnation, Time Skip",8003,73,215,0,,,MANGA,RELEASING,OTHER,2011-01-01,,MangaToon: https://mangatoon.mobi/en/detail/2242 | Manhuatai: https://www.manhuatai.com/douluodalu/ | Webnovel: https://www.webnovel.com/comic/16649401705694501 | Mangas.io: https://www.mangas.io/lire/soul-land,"Douluo Dalu is a action  adventure  fantasy  romance manga. It includes themes like magic  full color  male protagonist  martial arts  reincarnation  time skip. Tang San spent his prelife in the Tang Clan. He stole the secret from the Inner Clan to reach the peak of martial arts. In the end, he had to commit suicide for such action. Then he was reborn in a different world-Soul Land. This world is filled with powerful soul masters. Each master has their own martial souls. The martial soul of Tang San is a useless Blue Silver Grass. Can he bring the glory of the Tang Clan into this new world?( Also known as: Soul Land. Also known as: 斗罗大陆.",116
1178,Beorim Badeun Hwangbi,The Abandoned Empress,버림 받은 황비,"“MY ONLY CRIME WAS LOVING YOU…” Aristia la Monique was the child of prophecy, raised to be the companion of the future emperor-until she wasn’t. When the actual child of prophecy appears on the palace grounds, Aristia is immediately cast aside by both fiancé and country and forced to watch as Jieun is handed the love, future, and throne that was supposed to be hers. Her only reward for a lifetime of obedience is death…or rather, a second chance at life! When she unexpectedly wakes up in her ten-year-old body, Aristia resolves to escape the shackles of prophecy no matter the odds. This time, she’ll take fate into her own hands!(Source: Yen Press) Note: Includes a prologue.","Drama, Fantasy, Romance","Tragedy, Full Color, Male Harem, Female Protagonist, Isekai, Historical, Swordplay, Coming of Age, Heterosexual, Age Regression, Gods, Bullying, Yandere, Long Strip",7978,62,183,0,146.0,9.0,MANGA,FINISHED,OTHER,2017-06-09,2021-03-08,Tappytoon: https://www.tappytoon.com/series/abandonemp/1 | KakaoPage: https://page.kakao.com/home?seriesId=49917642 | ComicWalker: https://comic-walker.com/contents/detail/KDCW_FL00202082010000_68/ | Piccoma: https://piccoma.com/web/product/3223 | Yen Press: https://yenpress.com/series/the-abandoned-empress-comic,"Beorim Badeun Hwangbi is a drama  fantasy  romance manga. It includes themes like tragedy  full color  male harem  female protagonist  isekai  historical  swordplay  coming of age  heterosexual  age regression  gods  bullying  yandere  long strip. “MY ONLY CRIME WAS LOVING YOU…” Aristia la Monique was the child of prophecy, raised to be the companion of the future emperor-until she wasn’t. When the actual child of prophecy appears on the palace grounds, Aristia is immediately cast aside by both fiancé and country and forced to watch as Jieun is handed the love, future, and throne that was supposed to be hers. Her only reward for a lifetime of obedience is death…or rather, a second chance at life! When she unexpectedly wakes up in her ten-year-old body, Aristia resolves to escape the shackles of prophecy no matter the odds. This time, she’ll take fate into her own hands!( Also known as: The Abandoned Empress. Also known as: 버림 받은 황비.",157
1181,Wo Zhen Bushi Xie Shen Zougou,I’m Really Not the Devil’s Lackey,我真不是邪神走狗,"Lin Jie, who has transmigrated into this world, runs a bookshop. Nice and passionate, he always recommends books that are capable of healing one's soul to customers who find themselves in a rough patch in life. Occasionally, he would recommend his own work to them as well. Over time, these customers have grown to respect him a lot. They bring him some simple souvenirs every day to repay him and ask him for recommendations of literary works. At the same time, they tell the people around them about this bookstore owner as well. They have respectful and affectionate ways of addressing him-""The Devil's Hyena"", ""The Communicator of Flesh Gospel of Books"", ""The Author of the Corpse Ritual"" and "" The Star Shepard"".(Source: Bilibili)","Action, Fantasy, Horror","Urban Fantasy, Magic, Cosmic Horror, Philosophy, Classic Literature, Surreal Comedy, Witch, Full Color, Isekai, Male Protagonist, Religion, Fairy Tale, Steampunk, Gore, Rehabilitation, Shapeshifting, Cult, Elf, Adoption",7952,78,451,7,,,MANGA,RELEASING,OTHER,2021-06-01,,Bilibili: https://manga.bilibili.com/detail/mc29839 | Piccoma: https://jp.piccoma.com/web/product/158618,"Wo Zhen Bushi Xie Shen Zougou is a action  fantasy  horror manga. It includes themes like urban fantasy  magic  cosmic horror  philosophy  classic literature  surreal comedy  witch  full color  isekai  male protagonist  religion  fairy tale  steampunk  gore  rehabilitation  shapeshifting  cult  elf  adoption. Lin Jie, who has transmigrated into this world, runs a bookshop. Nice and passionate, he always recommends books that are capable of healing one's soul to customers who find themselves in a rough patch in life. Occasionally, he would recommend his own work to them as well. Over time, these customers have grown to respect him a lot. They bring him some simple souvenirs every day to repay him and ask him for recommendations of literary works. At the same time, they tell the people around them about this bookstore owner as well. They have respectful and affectionate ways of addressing him-""The Devil's Hyena"", ""The Communicator of Flesh Gospel of Books"", ""The Author of the Corpse Ritual"" and "" The Star Shepard"".( Also known as: I’m Really Not the Devil’s Lackey. Also known as: 我真不是邪神走狗.",177
1182,Gongjakbuinui 50-gaji Tea Recipe,50 Tea Recipes from the Duchess,공작부인의 50가지 티 레시피,"Duchess Chloé Battenberg is a spineless softy at the mercy of society snobs, disparaging servants, and a cold husband. When an office worker (and recovering pushover) awakens as Chloé, she can’t believe it. But she’s DONE with this pity party, so let's make it a tea party! Each cup is perfectly brewed to defeat prejudices and coffee-predilections—and served with a side of business savvy—but is it enough to stir her husband and bring Chloé the respect she deserves? Come spill the tea with Chloé! (Source: Tapas) Note: Chapter count includes 15 extra chapters.","Drama, Fantasy, Romance","Female Protagonist, Food, Full Color, Royal Affairs, Isekai, Bullying, Primarily Adult Cast, Body Swapping, Foreign, Heterosexual, Love Triangle, Magic",7940,72,236,0,143.0,,MANGA,FINISHED,OTHER,2019-07-12,2022-04-08,KakaoPage: https://page.kakao.com/home?seriesId=53297664 | Tapas: https://tapas.io/series/50-tea-recipes-from-the-duchess/info | Piccoma: https://piccoma.com/web/product/31451 | Kakao Webtoon: https://th.kakaowebtoon.com/content/50_ตำรับชาของดัชเชส/32?tab=episode | KuaiKan Manhua: https://www.kuaikanmanhua.com/web/topic/5829/ | Kakao Webtoon: https://webtoon.kakao.com/content/공작부인의-50가지-티-레시피/2731?tab=episode,"Gongjakbuinui 50-gaji Tea Recipe is a drama  fantasy  romance manga. It includes themes like female protagonist  food  full color  royal affairs  isekai  bullying  primarily adult cast  body swapping  foreign  heterosexual  love triangle  magic. Duchess Chloé Battenberg is a spineless softy at the mercy of society snobs, disparaging servants, and a cold husband. When an office worker (and recovering pushover) awakens as Chloé, she can’t believe it. But she’s DONE with this pity party, so let's make it a tea party! Each cup is perfectly brewed to defeat prejudices and coffee-predilections—and served with a side of business savvy—but is it enough to stir her husband and bring Chloé the respect she deserves? Come spill the tea with Chloé! ( Also known as: 50 Tea Recipes from the Duchess. Also known as: 공작부인의 50가지 티 레시피.",134
1183,Madojeonsaenggi,Chronicles of the Demon Faction,마도전생기,"Tired of the yoke of the Divine Justice Alliance, master assassin Cheon Ha-Jin attempts to flee, only to be confronted by martial artists of all allegiances, both orthodox and deviant. Succumbing to the wounds of his ferocious struggle for freedom, he awakens in the body of Seo Ryang, a prince of the notorious Heavenly Demon Cult who suffers from a disorder that prohibits him from the use of qi. In order to survive in his new life, Ha-Jin must contend with the many dangers and enemies that lurk within the cult.(Source: WEBTOONS, edited)","Action, Drama, Fantasy","Wuxia, Reincarnation, Cultivation, Full Color, Male Protagonist, Primarily Adult Cast, Martial Arts",7935,76,259,2,,,MANGA,RELEASING,OTHER,2023-03-24,,Naver Series: https://series.naver.com/comic/detail.series?productNo=9525690 | Naver Webtoon: https://comic.naver.com/webtoon/list?titleId=807777 | Webtoons: https://www.webtoons.com/en/action/chronicles-of-the-demon-faction/list?title_no=5832 | Webtoons: https://www.webtoons.com/fr/fantasy/chronicles-of-the-demon-faction/list?title_no=5578 | Webtoons: https://www.webtoons.com/th/action/chronicles-of-the-demon-faction/list?title_no=5537 | Webtoons: https://www.webtoons.com/zh-hant/martial-arts/chronicles-of-the-demon-faction/list?title_no=5378 | Dongman Manhua: https://www.dongmanmanhua.cn/BOY/modaozhuanshengji/list?title_no=2393,"Madojeonsaenggi is a action  drama  fantasy manga. It includes themes like wuxia  reincarnation  cultivation  full color  male protagonist  primarily adult cast  martial arts. Tired of the yoke of the Divine Justice Alliance, master assassin Cheon Ha-Jin attempts to flee, only to be confronted by martial artists of all allegiances, both orthodox and deviant. Succumbing to the wounds of his ferocious struggle for freedom, he awakens in the body of Seo Ryang, a prince of the notorious Heavenly Demon Cult who suffers from a disorder that prohibits him from the use of qi. In order to survive in his new life, Ha-Jin must contend with the many dangers and enemies that lurk within the cult.( Also known as: Chronicles of the Demon Faction. Also known as: 마도전생기.",126
1186,Mabeobmyeongga Maknaeadeul,House Mayton's Youngest,마법명가 막내아들,"As the author of ""Swordmaster Sade"", Cha Sung-Min had no idea how dangerous his plot-hole-riddled novel could be until he's reborn as Rasen Mayton, a spoiled side character destined to die at 17. As if being stuck in the body of a rude scumbag despised by everyone wasn't enough, Sung-Min also discovers that he was reborn at a point before his story began. With almost no knowledge about the current timeline, will Sung-Min be able to survive in this unwritten world as House Mayton's youngest? (Source: Tapas, edited)","Action, Adventure, Fantasy","Full Color, Isekai, Male Protagonist, Magic",7924,67,148,0,,,MANGA,RELEASING,OTHER,2022-10-10,,KakaoPage: https://page.kakao.com/content/60251820 | Tapas: https://tapas.io/series/house-maytons-youngest | KuaiKan Manhua: https://www.kuaikanmanhua.com/web/topic/17202/ | Kakao Webtoon: https://tw.kakaowebtoon.com/content/魔法名家的小兒子/559?tab=episode | Piccoma: https://piccoma.com/web/product/125448,"Mabeobmyeongga Maknaeadeul is a action  adventure  fantasy manga. It includes themes like full color  isekai  male protagonist  magic. As the author of ""Swordmaster Sade"", Cha Sung-Min had no idea how dangerous his plot-hole-riddled novel could be until he's reborn as Rasen Mayton, a spoiled side character destined to die at 17. As if being stuck in the body of a rude scumbag despised by everyone wasn't enough, Sung-Min also discovers that he was reborn at a point before his story began. With almost no knowledge about the current timeline, will Sung-Min be able to survive in this unwritten world as House Mayton's youngest? ( Also known as: House Mayton's Youngest. Also known as: 마법명가 막내아들.",115
1189,Chowolja Hagwonui Sugangsaengi Doeeotda,Enrolling in the Transcendent Academy,초월자 학원의 수강생이 되었다,"After a hundred years of monsters, it’s become the norm to train at hunter academies if you want to become a professional monster hunter. And that’s just what hard-working orphan Seojun Kim dreams of. But after a freak accident dashes his hopes, ads for the mysterious Transcendent Academy pop up on his phone, offering him a chance to train virtually with history’s most legendary warriors. As he levels up, he’s soon caught up in the world of hunter academies, dungeon raids, and competitive tournaments. But the more he learns, the more questions he has about the people surrounding him, his past, and the secrets of the Transcendent Academy. (Source: WEBTOONS)","Action, Adventure, Fantasy","Full Color, Male Protagonist, Dungeon, Long Strip",7912,71,205,5,,,MANGA,RELEASING,OTHER,2022-07-07,,Naver Series: https://series.naver.com/comic/detail.series?productNo=8615797 | Webtoons: https://www.webtoons.com/en/fantasy/enrolling-in-the-transcendent-academy/list?title_no=5420 | Webtoons: https://www.webtoons.com/fr/action/academie-transcendance/list?title_no=5277 | Webtoons: https://www.webtoons.com/th/fantasy/enrolling-in-the-transcendent-academy/list?title_no=6227 | Dongman Manhua: https://www.dongmanmanhua.cn/FANTASY/huanyingjiaruchaoyuezhexueyuan/list?title_no=2205 | Naver Webtoon: https://comic.naver.com/webtoon/list?titleId=797222,"Chowolja Hagwonui Sugangsaengi Doeeotda is a action  adventure  fantasy manga. It includes themes like full color  male protagonist  dungeon  long strip. After a hundred years of monsters, it’s become the norm to train at hunter academies if you want to become a professional monster hunter. And that’s just what hard-working orphan Seojun Kim dreams of. But after a freak accident dashes his hopes, ads for the mysterious Transcendent Academy pop up on his phone, offering him a chance to train virtually with history’s most legendary warriors. As he levels up, he’s soon caught up in the world of hunter academies, dungeon raids, and competitive tournaments. But the more he learns, the more questions he has about the people surrounding him, his past, and the secrets of the Transcendent Academy. ( Also known as: Enrolling in the Transcendent Academy. Also known as: 초월자 학원의 수강생이 되었다.",145
1191,Akdangi Saraganeun Beop,,악당이 살아가는 법,"“You have been chosen as a player in the great game to select the next god’s successor, the Mission! Congratulations!” Seong-Hoon has suddenly fallen into another world to participate in a game to become a god. This other world that is akin to that of a game contains players who cooperate and also kill each other in cold blood…!! Seong-Hoon, a person without an ounce of talent, uses wicked and crude tricks to become an all-powerful player!","Action, Adventure, Fantasy, Mystery, Psychological","Anti-Hero, Death Game, Full Color, Male Protagonist, Survival, Isekai, Gods, Magic, Battle Royale, Mythology, Primarily Adult Cast, Virtual World, Swordplay, Dungeon",7904,70,201,0,,,MANGA,RELEASING,OTHER,2021-11-09,,Naver Series: https://series.naver.com/comic/detail.series?productNo=6750867 | Naver Webtoon: https://comic.naver.com/webtoon/list?titleId=784849 | Dongman Manhua: https://m.dongmanmanhua.cn/episodeList?titleNo=2025 | Webtoons: https://www.webtoons.com/th/action/living-like-a-villain/list?title_no=4531,"Akdangi Saraganeun Beop is a action  adventure  fantasy  mystery  psychological manga. It includes themes like anti-hero  death game  full color  male protagonist  survival  isekai  gods  magic  battle royale  mythology  primarily adult cast  virtual world  swordplay  dungeon. “You have been chosen as a player in the great game to select the next god’s successor, the Mission! Congratulations!” Seong-Hoon has suddenly fallen into another world to participate in a game to become a god. This other world that is akin to that of a game contains players who cooperate and also kill each other in cold blood…!! Seong-Hoon, a person without an ounce of talent, uses wicked and crude tricks to become an all-powerful player! Also known as: nan. Also known as: 악당이 살아가는 법.",123
